"Tüketici fiyat endeksi ve değişim oranları, 2005-2023",,,,,,,,,,,,
"Index numbers and rate of changes in the consumer price index, 2005-2023",,,,,,,,,,,,
[2003=100],,,,,,,,,,,,
Yıl,Ocak,Şubat,Mart,Nisan,Mayıs,Haziran,Temmuz,Ağustos,Eylül,Ekim,Kasım,Aralık
Year,January,February,March,April,May,June,July,August,September,October,November,December
,Endeks - Index ,,,,,,,,,,,
2005,114.49,114.51,114.81,115.63,116.69,116.81,116.14,117.13,118.33,120.45,122.14,122.65
2006,123.57,123.84,124.18,125.84,128.20,128.63,129.72,129.15,130.81,132.47,134.18,134.49
2007,135.84,136.42,137.67,139.33,140.03,139.69,138.67,138.70,140.13,142.67,145.45,145.77
2008,146.94,148.84,150.27,152.79,155.07,154.51,155.40,155.02,155.72,159.77,161.10,160.44
2009,160.90,160.35,162.12,162.15,163.19,163.37,163.78,163.29,163.93,167.88,170.01,170.91
2010,174.07,176.59,177.62,178.68,178.04,177.04,176.19,176.90,179.07,182.35,182.40,181.85
2011,182.60,183.93,184.70,186.30,190.81,188.08,187.31,188.67,190.09,196.31,199.70,200.85
2012,201.98,203.12,203.96,207.05,206.61,204.76,204.29,205.43,207.55,211.62,212.42,213.23
2013,216.74,217.39,218.83,219.75,220.07,221.75,222.44,222.21,223.91,227.94,227.96,229.01
2014,233.54,234.54,237.18,240.37,241.32,242.07,243.17,243.40,243.74,248.37,248.82,247.72
2015,250.45,252.24,255.23,259.39,260.85,259.51,259.74,260.78,263.11,267.20,268.98,269.54
2016,274.44,274.38,274.27,276.42,278.02,279.33,282.58,281.76,282.27,286.33,287.81,292.54
2017,299.74,302.17,305.24,309.23,310.61,309.78,310.24,311.85,313.88,320.40,325.18,327.41
2018,330.75,333.17,336.48,342.78,348.34,357.44,359.41,367.66,390.84,401.27,395.48,393.88
2019,398.07,398.71,402.81,409.63,413.52,413.63,419.24,422.84,427.04,435.59,437.25,440.50
2020,446.45,448.02,450.58,454.43,460.62,465.84,468.56,472.61,477.21,487.38,498.58,504.81
2021,513.30,517.96,523.53,532.32,537.05,547.48,557.36,563.60,570.66,584.32,604.84,686.95
2022,763.23,799.93,843.64,904.79,931.76,977.90,1 001.03,1 015.65,1 046.89,1 084.00,1 115.26,1 128.45
2023,1 203.48,1 241.33,1 269.75,1 300.04,,,,,,,,
,Bir önceki aya göre değişim (%) - Monthly rate of change (%),,,,,,,,,,,
2005,0.55,0.02,0.26,0.71,0.92,0.10,-0.57,0.85,1.02,1.79,1.40,0.42
2006,0.75,0.22,0.27,1.34,1.88,0.34,0.85,-0.44,1.29,1.27,1.29,0.23
2007,1.00,0.43,0.92,1.21,0.50,-0.24,-0.73,0.02,1.03,1.81,1.95,0.22
2008,0.80,1.29,0.96,1.68,1.49,-0.36,0.58,-0.24,0.45,2.60,0.83,-0.41
2009,0.29,-0.34,1.10,0.02,0.64,0.11,0.25,-0.30,0.39,2.41,1.27,0.53
2010,1.85,1.45,0.58,0.60,-0.36,-0.56,-0.48,0.40,1.23,1.83,0.03,-0.30
2011,0.41,0.73,0.42,0.87,2.42,-1.43,-0.41,0.73,0.75,3.27,1.73,0.58
2012,0.56,0.56,0.41,1.52,-0.21,-0.90,-0.23,0.56,1.03,1.96,0.38,0.38
2013,1.65,0.30,0.66,0.42,0.15,0.76,0.31,-0.10,0.77,1.80,0.01,0.46
2014,1.98,0.43,1.13,1.34,0.40,0.31,0.45,0.09,0.14,1.90,0.18,-0.44
2015,1.10,0.71,1.19,1.63,0.56,-0.51,0.09,0.40,0.89,1.55,0.67,0.21
2016,1.82,-0.02,-0.04,0.78,0.58,0.47,1.16,-0.29,0.18,1.44,0.52,1.64
2017,2.46,0.81,1.02,1.31,0.45,-0.27,0.15,0.52,0.65,2.08,1.49,0.69
2018,1.02,0.73,0.99,1.87,1.62,2.61,0.55,2.30,6.30,2.67,-1.44,-0.40
2019,1.06,0.16,1.03,1.69,0.95,0.03,1.36,0.86,0.99,2.00,0.38,0.74
2020,1.35,0.35,0.57,0.85,1.36,1.13,0.58,0.86,0.97,2.13,2.30,1.25
2021,1.68,0.91,1.08,1.68,0.89,1.94,1.80,1.12,1.25,2.39,3.51,13.58
2022,11.10,4.81,5.46,7.25,2.98,4.95,2.37,1.46,3.08,3.54,2.88,1.18
2023,6.65,3.15,2.29,2.39,,,,,,,,
,Bir önceki yılın Aralık ayına göre değişim (%) - Rate of change on December of the previous year (%),,,,,,,,,,,
2005,0.55,0.57,0.83,1.55,2.49,2.59,2.00,2.87,3.93,5.79,7.27,7.72
2006,0.75,0.97,1.25,2.60,4.53,4.88,5.76,5.30,6.65,8.01,9.40,9.65
2007,1.00,1.44,2.36,3.60,4.12,3.87,3.11,3.13,4.19,6.08,8.15,8.39
2008,0.80,2.11,3.09,4.82,6.38,6.00,6.61,6.35,6.83,9.60,10.52,10.06
2009,0.29,-0.06,1.05,1.07,1.71,1.83,2.08,1.78,2.18,4.64,5.96,6.53
2010,1.85,3.32,3.93,4.55,4.17,3.59,3.09,3.50,4.77,6.69,6.72,6.40
