Year,Month,Accommodation and food services,Food and beverage serving services
2017,January,94.56,96.37
2017,February,94.87,96.96
2017,March,95.89,97.48
2017,April,96.95,98.23
2017,May,98.48,98.83
2017,June,101.01,99.87
2017,July,104.39,101.27
2017,August,105.18,101.17
2017,September,103.76,101.63
2017,October,102.19,102.32
2017,November,101.25,102.68
2017,December,101.47,103.20
2018,January,103.69,106.02
2018,February,104.72,107.21
2018,March,106.78,107.82
2018,April,109.66,109.26
2018,May,113.54,110.48
2018,June,119.73,112.01
2018,July,125.24,113.76
2018,August,131.53,116.32
2018,September,133.17,120.72
2018,October,128.30,123.09
2018,November,124.75,123.91
2018,December,125.28,124.46
2019,January,128.61,128.30
2019,February,128.91,129.19
2019,March,130.90,130.35
2019,April,135.32,131.87
2019,May,140.25,133.33
2019,June,149.21,135.33
2019,July,154.36,137.71
2019,August,156.33,138.68
2019,September,152.80,140.26
2019,October,147.55,141.43
2019,November,143.48,141.86
2019,December,144.25,142.91
2020,January,148.14,146.44
2020,February,148.42,147.89
2020,March,148.82,148.51
2020,April,149.38,149.03
2020,May,149.72,149.34
2020,June,157.74,152.15
2020,July,176.29,154.40
2020,August,186.80,156.98
2020,September,182.24,158.51
2020,October,177.15,160.59
2020,November,173.18,162.35
2020,December,173.50,163.82
2021,January,178.11,168.35
2021,February,179.31,171.21
2021,March,184.83,174.75
2021,April,188.18,177.00
2021,May,196.55,179.00
2021,June,212.28,184.85
2021,July,229.86,188.78
2021,August,234.30,192.21
2021,September,227.55,195.73
2021,October,222.64,199.01
2021,November,224.59,207.46
2021,December,248.82,226.74
2022,January,275.46,252.88
2022,February,286.90,265.59
2022,March,303.18,278.93
2022,April,323.32,295.96
2022,May,352.90,314.93
2022,June,391.04,336.56
2022,July,417.71,352.51
2022,August,440.59,373.08
2022,September,445.60,389.19
2022,October,450.21,404.22
2022,November,457.74,418.95
2022,December,472.73,436.74
2023,January,536.05,500.01
2023,February,553.64,524.34
2023,March,573.77,546.35
